exposure_id,campaign_id,customer_id,assignment,impressions,clicks,converted,order_value,media_cost
CMP001-E000074,CMP001,C000074,treatment,8,1,0,0.0,17.349
CMP001-E000075,CMP001,C000075,treatment,2,0,0,0.0,0.7751
CMP001-E000076,CMP001,C000076,control,0,0,0,0.0,0.0
CMP001-E000077,CMP001,C000077,treatment,5,1,0,0.0,16.1863
CMP001-E000078,CMP001,C000078,treatment,3,1,0,0.0,15.4112
CMP001-E000079,CMP001,C000079,treatment,5,0,0,0.0,1.9378
CMP001-E000080,CMP001,C000080,treatment,2,0,0,0.0,0.7751
CMP001-E000081,CMP001,C000081,treatment,1,0,0,0.0,0.3876
CMP001-E000082,CMP001,C000082,treatment,7,2,0,0.0,31.2099
CMP001-E000083,CMP001,C000083,treatment,5,0,0,0.0,1.9378
CMP001-E000084,CMP001,C000084,treatment,3,1,0,0.0,15.4112
CMP001-E000085,CMP001,C000085,treatment,2,0,0,0.0,0.7751
CMP001-E000086,CMP001,C000086,treatment,3,0,0,0.0,1.1627
CMP001-E000087,CMP001,C000087,control,0,0,0,0.0,0.0
CMP001-E000088,CMP001,C000088,treatment,5,1,0,0.0,16.1863
CMP001-E000089,CMP001,C000089,treatment,4,0,0,0.0,1.5502
CMP001-E000090,CMP001,C000090,treatment,5,0,0,0.0,1.9378
CMP001-E000091,CMP001,C000091,control,0,0,0,0.0,0.0
CMP001-E000092,CMP001,C000092,control,0,0,0,0.0,0.0
CMP001-E000093,CMP001,C000093,treatment,5,1,0,0.0,16.1863
CMP001-E000094,CMP001,C000094,treatment,3,1,0,0.0,15.4112
CMP001-E000095,CMP001,C000095,treatment,3,0,0,0.0,1.1627
CMP001-E000096,CMP001,C000096,control,0,0,0,0.0,0.0
CMP001-E000097,CMP001,C000097,treatment,3,0,0,0.0,1.1627
CMP001-E000098,CMP001,C000098,treatment,4,0,0,0.0,1.5502
CMP001-E000099,CMP001,C000099,treatment,3,0,0,0.0,1.1627
CMP001-E000100,CMP001,C000100,treatment,3,1,0,0.0,15.4112
CMP001-E000101,CMP001,C000101,treatment,6,0,0,0.0,2.3254
CMP001-E000102,CMP001,C000102,treatment,5,0,0,0.0,1.9378
CMP001-E000103,CMP001,C000103,treatment,4,0,0,0.0,1.5502
CMP001-E000104,CMP001,C000104,treatment,1,0,0,0.0,0.3876
CMP001-E000105,CMP001,C000105,treatment,4,0,0,0.0,1.5502
CMP001-E000106,CMP001,C000106,treatment,3,0,0,0.0,1.1627
CMP001-E000107,CMP001,C000107,control,0,0,0,0.0,0.0
CMP001-E000108,CMP001,C000108,treatment,5,0,0,0.0,1.9378
CMP001-E000109,CMP001,C000109,treatment,5,0,0,0.0,1.9378
CMP001-E000110,CMP001,C000110,treatment,5,1,0,0.0,16.1863
CMP001-E000111,CMP001,C000111,treatment,2,0,0,0.0,0.7751
CMP001-E000112,CMP001,C000112,treatment,4,0,0,0.0,1.5502
CMP001-E000113,CMP001,C000113,treatment,2,0,0,0.0,0.7751
CMP001-E000114,CMP001,C000114,control,0,0,0,0.0,0.0
CMP001-E000115,CMP001,C000115,treatment,1,0,0,0.0,0.3876
CMP001-E000116,CMP001,C000116,treatment,3,1,0,0.0,15.4112
CMP001-E000117,CMP001,C000117,treatment,2,0,0,0.0,0.7751
CMP001-E000118,CMP001,C000118,control,0,0,0,0.0,0.0
CMP001-E000119,CMP001,C000119,control,0,0,0,0.0,0.0
CMP001-E000120,CMP001,C000120,treatment,1,0,0,0.0,0.3876
CMP001-E000121,CMP001,C000121,control,0,0,0,0.0,0.0
CMP001-E000122,CMP001,C000122,treatment,1,0,0,0.0,0.3876
CMP001-E000123,CMP001,C000123,treatment,1,0,0,0.0,0.3876
CMP001-E000124,CMP001,C000124,treatment,2,0,0,0.0,0.7751
CMP001-E000125,CMP001,C000125,control,0,0,0,0.0,0.0
CMP001-E000126,CMP001,C000126,treatment,2,0,0,0.0,0.7751
CMP001-E000127,CMP001,C000127,treatment,6,0,1,35.68,2.3254
CMP001-E000128,CMP001,C000128,treatment,4,1,1,207.08,15.7987
CMP001-E000129,CMP001,C000129,treatment,6,0,1,208.9,2.3254
CMP001-E000130,CMP001,C000130,control,0,0,0,0.0,0.0
CMP001-E000131,CMP001,C000131,treatment,1,0,0,0.0,0.3876
CMP001-E000132,CMP001,C000132,treatment,1,0,0,0.0,0.3876
CMP001-E000133,CMP001,C000133,treatment,2,0,0,0.0,0.7751
CMP001-E000134,CMP001,C000134,treatment,3,1,0,0.0,15.4112
CMP001-E000135,CMP001,C000135,treatment,3,0,0,0.0,1.1627
CMP001-E000136,CMP001,C000136,treatment,3,0,0,0.0,1.1627
CMP001-E000137,CMP001,C000137,treatment,3,1,0,0.0,15.4112
CMP001-E000138,CMP001,C000138,treatment,3,1,0,0.0,15.4112
CMP001-E000139,CMP001,C000139,treatment,7,2,0,0.0,31.2099
CMP001-E000140,CMP001,C000140,control,0,0,1,161.57,0.0
CMP001-E000141,CMP001,C000141,treatment,3,0,0,0.0,1.1627
CMP001-E000142,CMP001,C000142,treatment,3,0,0,0.0,1.1627
CMP001-E000143,CMP001,C000143,control,0,0,0,0.0,0.0
CMP001-E000144,CMP001,C000144,treatment,5,1,0,0.0,16.1863
CMP001-E000145,CMP001,C000145,treatment,2,0,0,0.0,0.7751
CMP001-E000146,CMP001,C000146,treatment,4,0,0,0.0,1.5502
CMP001-E000147,CMP001,C000147,treatment,4,1,0,0.0,15.7987
CMP001-E000148,CMP001,C000148,treatment,2,0,0,0.0,0.7751
CMP001-E000149,CMP001,C000149,control,0,0,0,0.0,0.0
CMP001-E000150,CMP001,C000150,treatment,3,0,0,0.0,1.1627
CMP001-E000151,CMP001,C000151,treatment,2,1,0,0.0,15.0236
CMP001-E000152,CMP001,C000152,control,0,0,0,0.0,0.0
CMP001-E000153,CMP001,C000153,treatment,1,0,0,0.0,0.3876
CMP001-E000154,CMP001,C000154,treatment,6,1,0,0.0,16.5738
CMP001-E000155,CMP001,C000155,treatment,5,1,0,0.0,16.1863
CMP001-E000156,CMP001,C000156,treatment,5,1,0,0.0,16.1863
CMP001-E000157,CMP001,C000157,treatment,3,0,0,0.0,1.1627
CMP001-E000158,CMP001,C000158,treatment,4,0,0,0.0,1.5502
CMP001-E000159,CMP001,C000159,treatment,2,0,0,0.0,0.7751
CMP001-E000160,CMP001,C000160,control,0,0,0,0.0,0.0
CMP001-E000161,CMP001,C000161,control,0,0,0,0.0,0.0
CMP001-E000162,CMP001,C000162,treatment,3,1,0,0.0,15.4112
CMP001-E000163,CMP001,C000163,treatment,4,0,0,0.0,1.5502
CMP001-E000164,CMP001,C000164,treatment,5,0,0,0.0,1.9378
CMP001-E000165,CMP001,C000165,treatment,1,0,0,0.0,0.3876
CMP001-E000166,CMP001,C000166,treatment,2,0,0,0.0,0.7751
CMP001-E000167,CMP001,C000167,treatment,3,1,0,0.0,15.4112
CMP001-E000168,CMP001,C000168,treatment,5,2,0,0.0,30.4348
CMP001-E000169,CMP001,C000169,treatment,2,0,0,0.0,0.7751
CMP001-E000170,CMP001,C000170,treatment,4,0,0,0.0,1.5502
CMP001-E000171,CMP001,C000171,control,0,0,0,0.0,0.0
CMP001-E000172,CMP001,C000172,treatment,1,0,0,0.0,0.3876
CMP001-E000173,CMP001,C000173,treatment,2,0,0,0.0,0.7751
CMP001-E000174,CMP001,C000174,treatment,4,0,0,0.0,1.5502
CMP001-E000175,CMP001,C000175,treatment,1,0,0,0.0,0.3876
CMP001-E000176,CMP001,C000176,treatment,4,0,0,0.0,1.5502
CMP001-E000177,CMP001,C000177,treatment,5,0,0,0.0,1.9378
CMP001-E000178,CMP001,C000178,treatment,3,0,0,0.0,1.1627
CMP001-E000179,CMP001,C000179,treatment,2,0,0,0.0,0.7751
CMP001-E000180,CMP001,C000180,treatment,4,0,0,0.0,1.5502
CMP001-E000181,CMP001,C000181,treatment,3,0,0,0.0,1.1627
CMP001-E000182,CMP001,C000182,treatment,1,0,0,0.0,0.3876
CMP001-E000183,CMP001,C000183,treatment,3,0,0,0.0,1.1627
CMP001-E000184,CMP001,C000184,treatment,1,0,1,194.72,0.3876
CMP001-E000185,CMP001,C000185,treatment,5,0,0,0.0,1.9378
CMP001-E000186,CMP001,C000186,treatment,3,1,0,0.0,15.4112
CMP001-E000187,CMP001,C000187,treatment,4,1,0,0.0,15.7987
CMP001-E000188,CMP001,C000188,control,0,0,0,0.0,0.0
CMP001-E000189,CMP001,C000189,control,0,0,0,0.0,0.0
CMP001-E000190,CMP001,C000190,treatment,1,0,0,0.0,0.3876
CMP001-E000191,CMP001,C000191,treatment,2,1,0,0.0,15.0236
CMP001-E000192,CMP001,C000192,treatment,5,0,0,0.0,1.9378
CMP001-E000193,CMP001,C000193,treatment,1,0,0,0.0,0.3876
CMP001-E000194,CMP001,C000194,treatment,4,0,0,0.0,1.5502
CMP001-E000195,CMP001,C000195,treatment,3,0,0,0.0,1.1627
CMP001-E000196,CMP001,C000196,control,0,0,0,0.0,0.0
CMP001-E000197,CMP001,C000197,treatment,4,0,1,117.11,1.5502
CMP001-E000198,CMP001,C000198,treatment,3,1,0,0.0,15.4112
CMP001-E000199,CMP001,C000199,treatment,8,1,0,0.0,17.349
CMP001-E000200,CMP001,C000200,treatment,2,0,0,0.0,0.7751
CMP001-E000201,CMP001,C000201,control,0,0,0,0.0,0.0
CMP001-E000202,CMP001,C000202,treatment,3,0,0,0.0,1.1627
CMP001-E000203,CMP001,C000203,treatment,8,0,0,0.0,3.1005
CMP001-E000204,CMP001,C000204,treatment,4,0,0,0.0,1.5502
CMP001-E000205,CMP001,C000205,treatment,5,0,0,0.0,1.9378
CMP001-E000206,CMP001,C000206,treatment,3,0,1,98.44,1.1627
CMP001-E000207,CMP001,C000207,treatment,4,0,0,0.0,1.5502
CMP001-E000208,CMP001,C000208,treatment,2,1,0,0.0,15.0236
CMP001-E000209,CMP001,C000209,treatment,3,1,0,0.0,15.4112
CMP001-E000210,CMP001,C000210,treatment,4,0,0,0.0,1.5502
CMP001-E000211,CMP001,C000211,treatment,2,0,0,0.0,0.7751
CMP001-E000212,CMP001,C000212,treatment,1,0,0,0.0,0.3876
CMP001-E000213,CMP001,C000213,treatment,4,0,0,0.0,1.5502
CMP001-E000214,CMP001,C000214,treatment,5,1,0,0.0,16.1863
CMP001-E000215,CMP001,C000215,treatment,2,0,0,0.0,0.7751
CMP001-E000216,CMP001,C000216,treatment,4,0,0,0.0,1.5502
CMP001-E000217,CMP001,C000217,treatment,1,0,0,0.0,0.3876
CMP001-E000218,CMP001,C000218,treatment,4,0,0,0.0,1.5502
CMP001-E000219,CMP001,C000219,control,0,0,0,0.0,0.0
CMP001-E000220,CMP001,C000220,treatment,4,1,0,0.0,15.7987
CMP001-E000221,CMP001,C000221,treatment,3,1,0,0.0,15.4112
CMP001-E000222,CMP001,C000222,treatment,3,0,0,0.0,1.1627
CMP001-E000223,CMP001,C000223,treatment,3,0,0,0.0,1.1627
CMP001-E000224,CMP001,C000224,treatment,2,0,0,0.0,0.7751
CMP001-E000225,CMP001,C000225,treatment,5,0,0,0.0,1.9378
CMP001-E000226,CMP001,C000226,control,0,0,0,0.0,0.0
CMP001-E000227,CMP001,C000227,treatment,1,0,0,0.0,0.3876
CMP001-E000228,CMP001,C000228,treatment,3,0,0,0.0,1.1627
CMP001-E000229,CMP001,C000229,control,0,0,0,0.0,0.0
CMP001-E000230,CMP001,C000230,treatment,4,1,0,0.0,15.7987
CMP001-E000231,CMP001,C000231,control,0,0,0,0.0,0.0
CMP001-E000232,CMP001,C000232,treatment,6,2,0,0.0,30.8223
CMP001-E000233,CMP001,C000233,treatment,5,1,0,0.0,16.1863
CMP001-E000234,CMP001,C000234,control,0,0,0,0.0,0.0
CMP001-E000235,CMP001,C000235,treatment,4,2,0,0.0,30.0472
CMP001-E000236,CMP001,C000236,treatment,3,0,0,0.0,1.1627
CMP001-E000237,CMP001,C000237,treatment,2,0,0,0.0,0.7751
CMP001-E000238,CMP001,C000238,treatment,1,0,0,0.0,0.3876
CMP001-E000239,CMP001,C000239,treatment,3,0,0,0.0,1.1627
CMP001-E000240,CMP001,C000240,treatment,1,1,0,0.0,14.636
CMP001-E000241,CMP001,C000241,control,0,0,0,0.0,0.0
CMP001-E000242,CMP001,C000242,treatment,5,0,0,0.0,1.9378
CMP001-E000243,CMP001,C000243,treatment,2,0,0,0.0,0.7751
CMP001-E000244,CMP001,C000244,treatment,7,1,0,0.0,16.9614
CMP001-E000245,CMP001,C000245,treatment,4,0,0,0.0,1.5502
CMP001-E000246,CMP001,C000246,treatment,1,0,0,0.0,0.3876
CMP001-E000247,CMP001,C000247,treatment,4,0,0,0.0,1.5502
CMP001-E000248,CMP001,C000248,treatment,1,0,0,0.0,0.3876
CMP001-E000249,CMP001,C000249,treatment,1,0,0,0.0,0.3876
CMP001-E000250,CMP001,C000250,control,0,0,0,0.0,0.0
CMP001-E000251,CMP001,C000251,control,0,0,0,0.0,0.0
CMP001-E000252,CMP001,C000252,treatment,1,0,0,0.0,0.3876
CMP001-E000253,CMP001,C000253,treatment,3,0,0,0.0,1.1627
CMP001-E000254,CMP001,C000254,treatment,2,0,0,0.0,0.7751
CMP001-E000255,CMP001,C000255,treatment,5,0,0,0.0,1.9378
CMP001-E000256,CMP001,C000256,treatment,1,0,0,0.0,0.3876
CMP001-E000257,CMP001,C000257,treatment,5,0,0,0.0,1.9378
CMP001-E000258,CMP001,C000258,treatment,2,0,1,95.25,0.7751
CMP001-E000259,CMP001,C000259,treatment,5,1,0,0.0,16.1863
CMP001-E000260,CMP001,C000260,treatment,2,0,0,0.0,0.7751
CMP001-E000261,CMP001,C000261,control,0,0,0,0.0,0.0
CMP001-E000262,CMP001,C000262,treatment,3,2,0,0.0,29.6596
CMP001-E000263,CMP001,C000263,treatment,4,2,0,0.0,30.0472
CMP001-E000264,CMP001,C000264,treatment,3,0,0,0.0,1.1627
CMP001-E000265,CMP001,C000265,treatment,4,0,0,0.0,1.5502
CMP001-E000266,CMP001,C000266,control,0,0,0,0.0,0.0
CMP001-E000267,CMP001,C000267,treatment,5,1,0,0.0,16.1863
CMP001-E000268,CMP001,C000268,treatment,1,0,0,0.0,0.3876
CMP001-E000269,CMP001,C000269,treatment,6,0,1,103.41,2.3254
CMP001-E000270,CMP001,C000270,treatment,4,0,0,0.0,1.5502
CMP001-E000271,CMP001,C000271,treatment,1,0,0,0.0,0.3876
CMP001-E000272,CMP001,C000272,control,0,0,0,0.0,0.0
CMP001-E000273,CMP001,C000273,treatment,4,0,0,0.0,1.5502
CMP001-E000274,CMP001,C000274,treatment,3,0,0,0.0,1.1627
CMP001-E000275,CMP001,C000275,treatment,2,0,0,0.0,0.7751
CMP001-E000276,CMP001,C000276,control,0,0,0,0.0,0.0
CMP001-E000277,CMP001,C000277,treatment,1,0,0,0.0,0.3876
CMP001-E000278,CMP001,C000278,treatment,5,0,0,0.0,1.9378
CMP001-E000279,CMP001,C000279,treatment,4,0,0,0.0,1.5502
CMP001-E000280,CMP001,C000280,treatment,2,0,0,0.0,0.7751
CMP001-E000281,CMP001,C000281,treatment,2,0,0,0.0,0.7751
CMP001-E000282,CMP001,C000282,treatment,4,1,0,0.0,15.7987
CMP001-E000283,CMP001,C000283,treatment,3,0,0,0.0,1.1627
CMP001-E000284,CMP001,C000284,treatment,2,0,0,0.0,0.7751
CMP001-E000285,CMP001,C000285,treatment,1,0,0,0.0,0.3876
CMP001-E000286,CMP001,C000286,treatment,3,1,0,0.0,15.4112
CMP001-E000287,CMP001,C000287,treatment,3,0,0,0.0,1.1627
CMP001-E000288,CMP001,C000288,treatment,6,0,0,0.0,2.3254
CMP001-E000289,CMP001,C000289,control,0,0,0,0.0,0.0
CMP001-E000290,CMP001,C000290,treatment,4,0,0,0.0,1.5502
CMP001-E000291,CMP001,C000291,treatment,2,0,0,0.0,0.7751
CMP001-E000292,CMP001,C000292,treatment,4,0,0,0.0,1.5502
CMP001-E000293,CMP001,C000293,treatment,3,2,0,0.0,29.6596
CMP001-E000294,CMP001,C000294,treatment,4,0,0,0.0,1.5502
CMP001-E000295,CMP001,C000295,treatment,2,0,0,0.0,0.7751
CMP001-E000296,CMP001,C000296,treatment,2,0,0,0.0,0.7751
CMP001-E000297,CMP001,C000297,treatment,2,0,0,0.0,0.7751
CMP001-E000298,CMP001,C000298,treatment,3,0,0,0.0,1.1627
CMP001-E000299,CMP001,C000299,treatment,5,0,0,0.0,1.9378
CMP001-E000300,CMP001,C000300,treatment,2,0,0,0.0,0.7751
CMP001-E000301,CMP001,C000301,treatment,3,0,0,0.0,1.1627
CMP001-E000302,CMP001,C000302,control,0,0,0,0.0,0.0
CMP001-E000303,CMP001,C000303,treatment,1,1,0,0.0,14.636
CMP001-E000304,CMP001,C000304,treatment,3,0,0,0.0,1.1627
CMP001-E000305,CMP001,C000305,treatment,4,0,0,0.0,1.5502
CMP001-E000306,CMP001,C000306,treatment,7,0,0,0.0,2.7129
CMP001-E000307,CMP001,C000307,treatment,2,0,0,0.0,0.7751
CMP001-E000308,CMP001,C000308,control,0,0,0,0.0,0.0
CMP001-E000309,CMP001,C000309,control,0,0,0,0.0,0.0
CMP001-E000310,CMP001,C000310,treatment,4,1,0,0.0,15.7987
CMP001-E000311,CMP001,C000311,treatment,5,0,0,0.0,1.9378
CMP001-E000312,CMP001,C000312,treatment,3,0,0,0.0,1.1627
CMP001-E000313,CMP001,C000313,treatment,3,0,0,0.0,1.1627
CMP001-E000314,CMP001,C000314,treatment,2,0,0,0.0,0.7751
CMP001-E000315,CMP001,C000315,control,0,0,0,0.0,0.0
CMP001-E000316,CMP001,C000316,treatment,1,0,0,0.0,0.3876
CMP001-E000317,CMP001,C000317,treatment,1,0,0,0.0,0.3876
CMP001-E000318,CMP001,C000318,control,0,0,0,0.0,0.0
CMP001-E000319,CMP001,C000319,treatment,6,0,0,0.0,2.3254
CMP001-E000320,CMP001,C000320,treatment,2,0,0,0.0,0.7751
CMP001-E000321,CMP001,C000321,treatment,4,0,0,0.0,1.5502
CMP001-E000322,CMP001,C000322,treatment,2,0,0,0.0,0.7751
CMP001-E000323,CMP001,C000323,treatment,5,0,0,0.0,1.9378
CMP001-E000324,CMP001,C000324,treatment,2,0,0,0.0,0.7751
CMP001-E000325,CMP001,C000325,treatment,6,0,0,0.0,2.3254
CMP001-E000326,CMP001,C000326,treatment,4,0,0,0.0,1.5502
CMP001-E000327,CMP001,C000327,control,0,0,0,0.0,0.0
CMP001-E000328,CMP001,C000328,treatment,1,0,0,0.0,0.3876
CMP001-E000329,CMP001,C000329,treatment,3,1,0,0.0,15.4112
CMP001-E000330,CMP001,C000330,control,0,0,0,0.0,0.0
CMP001-E000331,CMP001,C000331,control,0,0,0,0.0,0.0
CMP001-E000332,CMP001,C000332,treatment,3,0,0,0.0,1.1627
CMP001-E000333,CMP001,C000333,treatment,4,0,0,0.0,1.5502
CMP001-E000334,CMP001,C000334,control,0,0,0,0.0,0.0
CMP001-E000335,CMP001,C000335,treatment,2,0,0,0.0,0.7751
CMP001-E000336,CMP001,C000336,treatment,7,0,0,0.0,2.7129
CMP001-E000337,CMP001,C000337,treatment,3,1,0,0.0,15.4112
CMP001-E000338,CMP001,C000338,treatment,8,0,0,0.0,3.1005
CMP001-E000339,CMP001,C000339,treatment,4,1,0,0.0,15.7987
CMP001-E000340,CMP001,C000340,treatment,5,0,0,0.0,1.9378
CMP001-E000341,CMP001,C000341,treatment,3,0,0,0.0,1.1627
CMP001-E000342,CMP001,C000342,treatment,3,0,0,0.0,1.1627
CMP001-E000343,CMP001,C000343,treatment,3,0,0,0.0,1.1627
CMP001-E000344,CMP001,C000344,treatment,2,0,0,0.0,0.7751
CMP001-E000345,CMP001,C000345,treatment,3,0,0,0.0,1.1627
CMP001-E000346,CMP001,C000346,treatment,4,0,0,0.0,1.5502
CMP001-E000347,CMP001,C000347,treatment,4,0,0,0.0,1.5502
CMP001-E000348,CMP001,C000348,treatment,1,0,1,126.1,0.3876
CMP001-E000349,CMP001,C000349,treatment,2,0,0,0.0,0.7751
CMP001-E000350,CMP001,C000350,treatment,4,0,0,0.0,1.5502
CMP001-E000351,CMP001,C000351,control,0,0,0,0.0,0.0
CMP001-E000352,CMP001,C000352,treatment,2,0,0,0.0,0.7751
CMP001-E000353,CMP001,C000353,control,0,0,0,0.0,0.0
CMP001-E000354,CMP001,C000354,control,0,0,1,78.27,0.0
CMP001-E000355,CMP001,C000355,control,0,0,0,0.0,0.0
CMP001-E000356,CMP001,C000356,control,0,0,0,0.0,0.0
CMP001-E000357,CMP001,C000357,treatment,5,1,0,0.0,16.1863
CMP001-E000358,CMP001,C000358,treatment,3,0,0,0.0,1.1627
CMP001-E000359,CMP001,C000359,treatment,3,0,0,0.0,1.1627
CMP001-E000360,CMP001,C000360,treatment,2,0,0,0.0,0.7751
CMP001-E000361,CMP001,C000361,treatment,2,0,0,0.0,0.7751
CMP001-E000362,CMP001,C000362,control,0,0,1,315.51,0.0
CMP001-E000363,CMP001,C000363,treatment,3,0,0,0.0,1.1627
CMP001-E000364,CMP001,C000364,treatment,6,0,0,0.0,2.3254
CMP001-E000365,CMP001,C000365,control,0,0,0,0.0,0.0
CMP001-E000366,CMP001,C000366,treatment,2,0,0,0.0,0.7751
CMP001-E000367,CMP001,C000367,treatment,2,0,0,0.0,0.7751
CMP001-E000368,CMP001,C000368,treatment,4,0,0,0.0,1.5502
CMP001-E000369,CMP001,C000369,treatment,3,1,0,0.0,15.4112
CMP001-E000370,CMP001,C000370,treatment,6,0,0,0.0,2.3254
CMP001-E000371,CMP001,C000371,treatment,5,0,0,0.0,1.9378
CMP001-E000372,CMP001,C000372,treatment,3,0,1,131.97,1.1627
CMP001-E000373,CMP001,C000373,treatment,4,1,0,0.0,15.7987
CMP001-E000374,CMP001,C000374,treatment,1,0,0,0.0,0.3876
CMP001-E000375,CMP001,C000375,treatment,1,0,0,0.0,0.3876
CMP001-E000376,CMP001,C000376,treatment,4,0,0,0.0,1.5502
CMP001-E000377,CMP001,C000377,treatment,3,0,0,0.0,1.1627
CMP001-E000378,CMP001,C000378,treatment,3,0,0,0.0,1.1627
CMP001-E000379,CMP001,C000379,treatment,5,1,0,0.0,16.1863
CMP001-E000380,CMP001,C000380,treatment,6,0,0,0.0,2.3254
CMP001-E000381,CMP001,C000381,treatment,4,0,0,0.0,1.5502
